HJD MAX+2400000;E;O-C;ADS;AAVSO;BAV;CDB;GEOS;KWS;ASASSN;type;source;observer;reference
43546.9200;100;0.35;;;;;0.35;;;vis;GEOS;Poretti;GEOS NC 376
43547.0800;100;0.51;;;;;0.51;;;vis;GEOS;Buzzoni;GEOS NC 376
43578.3800;104;0.16;;;;;0.16;;;vis;GEOS;Pampaloni;GEOS NC 875
43578.6000;104;0.38;;;;;0.38;;;vis;GEOS;Pampaloni;GEOS NC 376
43878.9230;142;-0.02;-0.02;;;;;;;vis;ADS;moffett 1984;Szabados 1991
43894.4000;144;-0.38;;;;;-0.38;;;vis;GEOS;Boistel;this paper
43903.2100;145;0.52;;;;;0.52;;;vis;GEOS;GUR;GEOS NC 376
43926.6200;148;0.19;;;;;0.19;;;vis;GEOS;Pampaloni;GEOS NC 883
43934.4070;149;0.06;0.06;;0.06;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
44210.6000;184;-0.73;;-0.73;;;;;;vis;AAVSO;Lowder;AAVSO this paper
44218.6000;185;-0.64;;-0.64;;;;;;vis;AAVSO;Lowder;AAVSO this paper
44234.5000;187;-0.57;;-0.57;;;;;;vis;AAVSO;Lowder;AAVSO this paper
44235.0500;187;-0.02;;;;;-0.02;;;vis;GEOS;Ficole;GEOS NC 376
44496.6960;220;0.47;;;;;0.47;;;vis;GEOS;Boistel;this paper
44496.7000;220;0.48;;;;;0.48;;;vis;GEOS;Boistel;GEOS NC 376
44615.2500;235;0.32;;;;;0.32;;;vis;GEOS;Vialle;GEOS NC 376
44702.4200;246;0.44;;;;;0.44;;;vis;GEOS;Boistel;This paper
44718.0400;248;0.23;;;;;0.23;;;vis;GEOS;Marinello;GEOS NC 376
45232.0456;313;-0.16;;;;;-0.16;;;vis;GEOS;Kuchto;GEOS this paper
45699.5000;372;0.38;;0.38;;;;;;vis;AAVSO;Lowder;AAVSO this paper
45707.5000;373;0.47;;0.47;;;;;;vis;AAVSO;Lowder;AAVSO this paper
45786.5000;383;0.33;;0.33;;;;;;vis;AAVSO;Lowder;AAVSO this paper
46031.4300;414;-0.07;-0.07;;-0.07;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
46031.4300;414;-0.07;;-0.07;;;;;;un.;AAVSO;un.;Berdnikov 2003
46150.2500;429;0.05;;;0.05;;;;;vis;BAV;Schmidt J.;BAV database
46862.2900;519;-0.15;;;-0.15;;;;;vis;BAV;Sturm A.;BAV database
47163.1659;557;0.00;;;;;0.00;;;vis;GEOS;Kuchto;GEOS this paper
47187.2900;560;0.38;;;0.38;;;;;vis;BAV;Sturm A.;BAV database
47566.2800;608;-0.49;;;-0.49;;;;;vis;BAV;Sturm A.;BAV database
47915.0300;652;0.06;;;0.06;;;;;vis;BAV;Dahm M.;BAV database
47922.6500;653;-0.24;;;-0.24;;;;;vis;BAV;Kriebel W.;BAV database
47946.3300;656;-0.30;;;-0.30;;;;;vis;BAV;Sturm A.;BAV database
